Provider Id,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
290047,28.817204301075268,91934.58174706351,12507.931033983874,10052.396960825396
290049,38.04838709677419,33171.19772424999,7924.102193322579,6464.150847549999
290051,45.0,62905.01666666666,17698.38333333333,16336.43
290053,23.79432624113475,102522.14744612903,13777.12707979432,12424.01181796774
290054,29.541062801932366,102063.33891278911,11322.810962985506,8723.956167605442
290057,27.962962962962962,88140.64519851851,10906.161451074073,8476.616016703703
300001,40.80913978494624,41772.417538196736,11327.719090728495,9921.232373049175
300003,35.5965811965812,59770.22190273192,23725.896745688886,21069.41684387371
300005,30.754716981132077,42947.22284555556,11549.636592075465,10276.132096953705
300011,29.6625,23916.361631028045,8266.229998668752,6534.654769598129
300012,36.12413793103448,23962.157077827233,9717.533360941377,8650.654799000002
300014,26.188034188034187,24012.481982911388,7683.252482615386,6557.761740481012
300017,28.08730158730159,38082.44919094117,7855.303332301589,6204.080127658826
300018,32.27751196172249,39386.60470242649,9464.492608200962,7820.377996816178
300019,32.48275862068966,23502.634276883113,9577.531242198276,8445.210087259744
300020,31.02262443438914,25470.722036081082,8904.14104412217,7842.649600898653
300023,34.406060606060606,26489.83589618182,9715.967005303031,7515.573050972726
300029,31.566176470588236,68949.31022337076,12857.712563812504,10422.47043046068
300034,37.849726775956285,56509.234797727295,13845.06443730056,12839.346537293373
310001,44.266176470588235,92721.28782706405,20675.031738769125,17874.712551735094
310002,32.312056737588655,123271.72442499998,26706.714082141825,23689.441691281932
310003,32.502347417840376,77983.04446440563,13935.317682633797,11061.036837573429
310005,33.70124481327801,37211.93487300612,10747.664631311192,8883.108384711653
310006,32.93063583815029,64048.624905575176,11119.80204168786,9950.89932595575
310008,36.94102564102564,59820.916713984065,12500.425170079492,10671.647063705173
310009,34.69085173501577,69741.2565993839,12594.170911813886,11585.417443516588
310010,38.05438066465257,48609.31871102679,11058.424034525682,8957.71292242858
310011,38.013953488372096,44333.57755107382,8594.196643637213,7660.704559348996
310012,44.07142857142857,67802.71008291449,14932.787367223003,13411.192709847595
310014,31.378839590443686,102045.08467822791,21278.13470569795,17562.570179245577
310015,52.325936199722605,93929.37012214877,19354.040910461845,16030.423444070251
310016,25.803797468354432,167498.33537196263,12992.831652886083,10447.829828551407
310017,39.14666666666667,73893.73486633168,10418.369942063333,9173.375257030151
310019,46.355932203389834,100976.50901858041,18308.880139959754,16022.926113346997
310021,25.916666666666668,88396.64234114754,12942.711171822915,9952.834746557379
310022,58.63442622950819,90689.96288583755,12193.545029847537,9594.53097053045
310024,31.153061224489797,110005.02171519688,10216.604550459177,8800.768724275591
310025,30.733333333333334,149639.93096034185,10090.707787838885,8757.631558589745
310027,27.58695652173913,68830.96214538463,12937.388236195657,11654.616199429478
310028,36.9349593495935,96165.79896025317,9320.331447008122,8098.0679980696195
310029,36.93023255813954,133482.768240913,18318.96309684593,14826.112631243463
310031,31.493055555555557,146661.5225812632,27120.646976909702,24588.927234000002
310032,41.87688442211055,62583.76292041987,13059.717832180899,11086.18866714504
310034,35.50568181818182,75262.20194683541,11060.312104272727,9538.89677343038
310038,38.66017964071856,147783.51796392773,21335.411008294912,18513.68540734312
310039,40.04123711340206,83206.47139731959,12802.40637546736,11170.1452452268
310040,23.278350515463917,135702.07802446155,12350.099021474223,10271.28381098461
