Total Discharges,Total Discharges,Total Discharges,Average Covered Charges,Average Covered Charges,Average Covered Charges,Average Total Payments,Average Total Payments,Average Total Payments,Average Medicare Payments,Average Medicare Payments,Average Medicare Payments,medicare provider number
2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,
44.75925925925926,44.333333333333336,44.14102564102564,44393.74290123457,48931.55767857144,48774.67498756411,9921.481296296291,10071.632321428575,10118.479657801283,8708.045925925922,8917.722321428575,8783.529300173075,010001
39.851351351351354,37.76623376623377,38.432432432432435,17973.073783783784,17680.378701298705,19111.36448622973,7479.254729729728,7240.391298701302,7439.8633552297315,6222.3747297297305,5943.038441558442,6131.9290727432435,010005
41.43801652892562,39.96747967479675,38.90350877192982,49021.147190082665,47697.24642276421,42025.087763859665,9735.518677685948,9997.14235772358,8824.872253912283,8436.41826446281,8724.886422764226,7654.324108219295,010006
22.761904761904763,21.57894736842105,21.3125,12576.778571428573,12060.583684210525,13147.5096938125,5426.637619047619,5562.832631578947,5500.8875314375,4587.290952380951,4665.394210526316,4520.838621625001,010007
22.0,19.0,15.0,15928.856666666668,15413.96,14177.746290000001,6157.163333333334,4912.75,7003.051282666667,5122.0233333333335,3787.49,5948.044534333334,010008
33.427083333333336,32.70103092783505,31.74418604651163,46784.17677083332,50944.709587628866,50868.31965244187,10322.217604166668,11137.687216494847,10964.43316954651,9006.062499999998,9626.093608247424,9328.253760651163,010011
21.375,19.75,22.433333333333334,39501.270312500004,51955.95562499999,50401.757451000005,5893.770937499998,7111.828437499999,6792.508940033333,4751.3953125,6066.252812499998,5646.572906966668,010012
29.395061728395063,28.349397590361445,25.698630136986303,49006.74012345679,53891.0391566265,60731.05984273974,9257.322839506178,9168.326987951808,9001.953637328768,7674.067654320989,7677.27,7238.385981246575,010016
13.0,13.0,,31023.69,34197.77,,10373.69,14328.23,,8139.31,13145.77,,010018
38.7,34.85964912280702,38.301886792452834,25120.46183333332,23108.443508771925,21609.361282830185,7037.6345,6308.725789473684,6000.277044735848,5871.846333333334,5158.360350877195,4738.546638037737,010019
23.833333333333332,23.9375,31.0,15531.087222222219,15060.657500000001,16207.259976222218,7659.256111111112,6783.415,6667.549848333333,6733.825555555555,5755.938749999999,5654.108655111111,010021
38.6,36.5,23.166666666666668,20338.036,25034.774999999998,26757.000961666665,5808.884,8457.49,6895.053325666665,4961.594,7565.11,5842.235485333334,010022
35.55769230769231,38.0,34.464285714285715,45079.16307692306,50644.269633027514,46336.16538380359,12449.658461538464,13034.79422018349,12274.550383419642,10928.206442307697,11402.697431192657,10527.926450785715,010023
36.373831775700936,33.91346153846154,32.50515463917526,44936.19570093459,53731.598461538466,50929.654469690744,10069.153084112151,10946.042211538464,9716.303929051546,8814.052056074765,9610.487211538457,8192.049162422683,010024
39.9765625,40.49180327868852,38.91588785046729,21761.129140625002,24735.412049180326,23571.607517009357,10215.214609375005,11400.459918032786,10701.974820644857,9050.359687499998,10071.873770491808,9247.806046971964,010029
12.4,11.0,12.0,14969.056,13055.73,12929.41667,5773.610000000001,4814.91,5807.0,4587.964,3763.64,4932.0,010032
