medicare provider number,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number
60103,,255133.53808666664,299.999928475,60229.96171,4748.996962475,,876435.0410499404,1217265.8172050002,0.49999988079999996,0.49999988079999996,786455.1458666666,298543.9288273233,860387.14495936,254214.70089214286,,,,,,,,,,,943.49956007,1588.7489629725,,,,60103
60104,,,13015.218544133335,96094.68538624998,12630.4955541,,1556302.603162769,2069973.337909444,0.49999988079999996,0.49999988079999996,2495869.1688278764,780760.5472869999,1221470.7037799102,271190.83879340003,,,,477.2855404414286,,,,,,19838.793310200002,494.3331295566666,43972.65058658213,,,35660.60694234762,60104
60112,29390.278707077145,,45208.9892215,936.3328562566667,,,,323.99983713999995,,,379730.2427986667,48975.65499,506003.87935427,68790.98357915602,,,,1602.87449215625,,,,9711.9976845,-0.499999881,,1284.4991842000002,25180.5870202,,,,60112
60113,,,,127781.9424754,7584.19715686,,38480.044792,247099.61327914285,,,2221145.7919863327,405517.497340625,1481560.5882849998,263420.88540714287,,,,,,,,,,,1308.570792005714,49148.988491807686,,,64587.38259129999,60113
60114,,,42.499989867,,3721.3323304416667,,631889.849345,298254.6173152857,,,1347220.1877986554,251846.24425616668,1303853.5452735715,248278.9135113571,,,,1048.2854152814286,,,,,,,514.499752805,1954.9995339,,,,60114
60116,39811.49246575,1291134.3669759713,,151573.82902014416,14628.298017117,,56592.0,,,,888892.6337833334,211128.32465833332,665321.67876625,124325.121575,,,,1746.5999657599998,,,,,4779.5708949857135,,,177428.2321925,,,61541.61627825,60116
60117,,,,,,,,,,,,,350566.574794,90804.3891096,,,,,,,,,,,,,,,,60117
60118,,,,,49631.53595288429,,,163791.94817438335,,,,,393140.86135686666,109914.35544111334,35.428558910142854,56.99997763028572,14.999988816039998,,,,,,,,195.12494300650002,,,,,60118
60119,,,,210216.67724345456,,,3214914.8767250003,614211.5210575,,,21823591.7089625,7380078.0541624995,1626920.967803077,483087.1953338462,,,,,2369.3327684333335,,,,,,59785.659360666665,26189.497988,,,,60119
60124,,,,,911.9992160424999,,,,,,,,20705.494079,6082.9968374,,,,,,,,,,,,,,,,60124
60125,,,,,,,,,,,22352.991845325,5778.7478316325005,777762.929935,167689.92063016666,,,,,,,,,,,,,,,,60125
61302,14631.9999591975,,957.5,20101.0,1749.99996839525,468801.44357325,,,,,165746.99640499998,79081.2456335,21151.999914500004,13481.9945635,1958.149807765,2100.149779272,238.33332644955559,,,,,1076.0,,,12317.749531775,,,,,61302
61308,985.09071114,2275.3564416642853,,,311.76913250690774,86722.88068731713,,,,,247144.75755785714,191948.05708157137,70306.63715733333,49126.14596483333,465.9472094226315,502.9998385826315,42.69999473031,,,,,,29315.99805733333,16760.996004,549.7138976938143,,,,,61308
61309,504.92853010142863,3095.25,,,15.9999943565,693293.1518614285,,,,,45876.49534816667,31190.498130666663,,,238.99996592444444,239.9444103688889,47.285712458285715,,,,,,,,,,,,,61309
61310,,,,,1030.1578237689473,390658.9025226316,,,,,65169.43286188888,39558.775993944444,22059.219035444446,13392.664978111112,281.8420750405263,288.63154854894736,33.352935247352946,,,,,,,,,,,,,61310
61312,,,,30292.0,,2310559.1834035297,,,,,1076070.22082,581636.7720540001,134980.0,69002.0,462.5293887064705,547.7058110588235,30.39999892142,,,,,20091.998288,,,,,,,,61312
61313,12932.0,9757.998266499999,,,2488.99917595,386795.8228930769,,,,,,,184382.5,136322.5,693.5882138111765,700.2352726347059,48.43749870665625,,,,,,230.14282618428572,,9091.499919733333,,,,,61313
61314,2473.181816236364,4880.9962115,,,474.19991170800006,1040366.18462,,,,,1203046.9722085712,704706.0208357143,226674.10283714283,132386.10132042857,453.9999405876471,462.1764111758824,36.0624980770625,,,,,,,,8221.49813785,,,,,61314
61315,879.294028174706,,,,,903899.03425,,,,,458640.2135275,320258.359375,96591.61378475,66532.745141625,138.1764552037647,142.823519812,22.75,,,,,,,,482.499918395,,,,,61315
61317,650.0,,,19448.466087299996,336.1817557927273,12635363.1075375,,,,,3024302.7616333333,2045304.7945333335,335336.2561633333,227069.96940666667,88.74999515075,92.0624902386875,36.1999979264,,,,,,,,,,,,,61317
61320,854.12490735875,57.0,,,,60502.0,,,,,503029.69666124997,265884.73972575,269798.4724325,132812.73587375,239.06248021619376,268.99998535775626,36.9166660605,,,,,,,,4257.333283383334,,,,,61320
61321,600.0907950181819,3933.7141825179287,2743.812048981875,38711.661758,1563.12495400625,330915.36428613996,,,,,,,,,1011.8749209075,1016.0624209075,144.437491743,,,,,,2496.74981004375,,,,,,,61321
61322,,,2966.0908906,,,602140.0885274999,,,,,1888869.2481000002,920879.4776233333,,,358.12498336125,386.18747554374994,68.13332823033333,,,,,,,,36926.995719,,,,,61322
61323,6917.999318128571,,,,843.9332584186667,,,,,,2127218.0,1284883.0,,,1068.7998448622666,1072.7998511056,46.499998917300005,,,,,,,,1515.9999750333334,,,,,61323
61324,3024.4280168428572,10189.747500632498,7207.9986729,,,5434237.142806875,,,,,1994064.5339444445,1380436.4840222222,88773.42264022223,63249.54149533334,134.53331672285333,140.66665005618668,58.909084341909086,,,,,742152.7060064616,18104.613920915384,,13557.381980207692,,,,,61324
61327,,1108037.0,22866.99375,8977.5,1448.249926425,904638.8885833333,,,,,,,,,556.49996281,572.99996281,55.22222086182222,,,,,,21583.989041,,30373.6659675,,,,,61327
61328,,,,,,1261350.220998889,,,,,,,,,125.3749941475,107.09999416420001,21.142856692,,,,,,,,,,,,,61328
61336,,,,,,,,,,,,,,,172.66664608366668,206.66664202999996,290.49996537,,,,,,,,,,,,,61336
61344,,,,,,,,,,,278778.93353499996,78813.98120899999,441688.89469333336,128014.63614666666,36.9999911787,65.33331775666666,144.99996542933334,,,,,,,,,,,,,61344
70002,,,1227110.035275,,4412.247896075,153819.46749,5865443.608471428,,149048.952136,182.99995636749998,34722864.3362,14259549.434112502,,,,,,2949.998593325,,,,208957.02216499997,31531.5335385,50817.975768,1091567.4111374998,106029.05999859443,,,142714.28147799047,70002
70003,,91356.94618831816,,,21308.956016906664,651543.0199211765,2852438.9693566663,,,,2852438.9693566663,1452794.7044377776,,,,,,,,,,85227.67379274999,,,17565.825249866666,,,,,70003
70004,2390.7483489375,16586.921673205,,14333.493333299999,1716.7491368116664,,160762.92333999998,,,,197403.64889999997,84037.7029235,,,,,,,,,,,,,21961.989527485075,,,,,70004
70005,31258.985094500003,19444.65753433333,4116.664495966666,,,,2854679.7953675003,,3813975.60645,2986998.1006459994,101458650.97575,28161007.682162497,,,,,,,,,,9481.971293513556,29795.497881352934,146986.74272447394,61812.246388499996,63262.06463148818,,,82678.2688712,70005
70006,,132858.81164818374,147293.60162056095,669039.4966391666,8034.966194622222,306258.63446666667,1760350.8272433334,,,,16749493.2881125,5109041.246075001,,,,,,,,12.749993508475,,63749.302963999995,,,8797.1943918,35505.98499705,,,121470.14425871428,70006
70007,,1172608.4408566665,,248196.30350739133,,415174.80202999996,9386771.61061778,149758.796314125,225755.88734137497,,5852943.553736249,2794104.4198676874,300538.0954862,123992.537484,,,,2348.082175769167,2472.0349489624996,36.499982823725,,,,,294199.74310990545,,,,,70007
70008,22249.989390500003,,,,1315.0876653181112,749999.500655,176711.90238699998,,,,10572078.314333333,3295254.41645,,,,,,921.4449117575,,,,,,,85415.10902243278,,,,,70008
70010,,2729652.5423250003,1061758.9001635653,,21691.936005913045,,26372833.223424997,17910481.6291875,200650.02049437497,,30793039.6153375,8948980.618575001,44784289.83708084,13049834.366470417,,,,4261.870434150715,,,2823.7130302671426,47858.2448304375,,1176747.2853830433,127848.4048386494,1212896.688658857,,,1099926.1917329163,70010
70011,,16551.49006172,42150.969059999996,,4044.9453296584206,2240278.0168041666,2355685.6021944447,106308.94806066666,1158468.3629286666,,4574859.655776433,2618459.9907382005,317218.4502007222,157490.7009716111,,,,,,,,,815770.5890700001,,49484.351194018745,6399.331494423334,,,,70011
70012,,2812.020638833333,172.499917747,60677.37106699999,3206.2841854157145,551598.236975,172617.7176888,,18999.989196,17416.19169522,2116258.390896,850381.1945100001,120668.27579400002,37654.31537833333,,,,,,,,,,,13378.150562642857,,,,,70012
70016,12.999993801099999,69801.8133439629,73391.83484680501,183530.2427433333,26993.39595101263,,,,,,,,,,,,,,1175.3118790517497,,,169060.1541,58725.613733000006,476013.18759208336,195966.84619257497,,,,52590.029198000004,70016
70017,24810.988168999997,7462.142611149091,2959.643792116667,,,,1688657.761822222,312696.8502615556,,,6085205.9829,2779895.4698144444,765643.268150091,327842.3866208182,,,,,,,,55263.59951739999,,,223962.02995285715,,,,,70017
70018,34283.815328000004,182790.15924762498,,,445.6665034733333,1243660.939,2506023.468711111,1248835.18517,1167363.1484877777,,7037369.949302223,2112741.5630644443,5242322.674427778,1632290.8269355553,,,,1925.74908173,,,,499693.59511749994,9039.549731713583,,506847.86947823537,4369.997916225,,,,70018
70019,,141662.24492725774,,,9798.694366716667,,166286.9207095,4920481.6537500005,,,1442275.8122797501,582647.72216875,4920481.6537500005,1992668.04985,,,,,,,,,,,,6049.746523975,,,,70019
70020,,,137274.05513166668,,23047.057553794442,1675578.2715,1825066.6131433332,,223225.43534899998,,14319324.931544445,4835206.453452222,,,,,,,,,,,10891.975747377779,,,5307.3861372383335,,,870087.9099933334,70020
70021,439.49979042999996,1748.9158263640836,121823.81632588233,,10663.456731407692,,29098.4861245,,,52354.4750355,207169.70121459998,79549.7620684,,,,,,,,,,,478.57118377714283,1224.99933007875,80519.57524957223,2238.19891369,,,,70021
70022,,21868678.62952,1010855.384763,165588.3128954,36392.569208571425,,52804933.133777775,51780575.21822223,3057070.451488889,,160115180.87502226,50182925.896199994,146123742.76785383,45027849.21331847,,,,23450.28103735714,5050.791987758334,3218.9982797800003,13865.6193171625,433742.12651000003,,5692566.2263279995,16102.05842625875,77686.51671174442,5687592.017000001,,92085.326656875,70022
70024,,,,,,537166.2801454166,6161053.205107143,128969.27183900001,507579.61511285714,47130.4775265,5456506.64871875,2205140.81485875,232868.13586501672,84365.86771933417,,,,,,,,,,,,10904.394053920001,,,,70024
70025,,,5054488.9296,,,6745745.1481,16564357.663988892,1728643.0501585715,244805.38327,619453.20462,47401170.10670001,20566949.636550907,3086163.987681429,1367920.7796757144,,,,,,,,,,447719.98940200004,,316795.98830799997,4748585.497395834,,160603.38676131578,70025
70027,2083.998804096667,3958.1562189833335,14062.87857255,387020.97633128567,168559.32602666668,,677677.3148122221,,,32487.984910844443,6986158.948022222,2626958.1971277776,268329.37205,78057.46277750001,,,,,,,,458438.9866950001,94468.219224,1800.5250977499998,30836.320158266666,,,,379126.81922,70027
70028,,637635.7786109305,4014760.190940374,174806.90081504374,104760.8807393547,,7489613.592757142,,,,23935636.566887498,9253395.807249999,,,,,,,1493.68416912,24.999989114675003,,55656.9734605,,501820.97299583326,142804.595679753,1022165.1860799001,,,1058864.7181787917,70028
70029,,,6930.746447475,,,,,,,,,,,,,,,,,,,,,,151538.92772677224,4289.664226966666,,,,70029
70031,115.9999446875,,237043.55363333333,,4472.997609366666,2268741.9182,525311.5326177778,,,,,,,,,,,,,,,,,,18774.4910476,857.9993299150001,,,,70031
70033,26194.4875095,,,211913.89895,35768.982943999996,,42418725.601555556,11062077.445766665,,1043316.50253,43768138.6248,18626160.119811114,12198136.015111111,5125997.218166668,,,,,,56.39996966780001,,,2033.9990301500002,46568.96548790001,,14918.241630433333,,,1291.999472555,70033
70034,289409.72183,27678.70340262,57173.23567926249,83635.37481780438,26955.627973125,1496374.6326942858,,,,,8183911.592248183,3697902.7919545453,,,,,,1223.3994700930002,,31.777760632888892,,483419.91063518694,247302.82531249995,191542.0534480417,72238.465555,40002.202942100004,,,22787.489858,70034
70035,516.6118226725,69814.35509275,,80939.961405,12391.49409145,788962.623775,13430554.381757779,,413580.1243631111,,15382632.579233335,5890221.436377777,,,,,,,,,,285276.63992333337,502629.42184625,,823649.60725,11984.993619733332,,,12408.4940832,70035
70036,,,4824.997917819999,,,119781.34914,1945935.8309000002,,,,7183017.148422827,3765327.764622857,,,,,,10444.819416251765,,,,,,,,9639.662990655555,,,428.4042234916667,70036
80001,,,63773.72649175,,,,,,,,362535.9719570001,160778.5507695,,,,,,13419.928547966667,11841.120593245832,,,134092.41628671432,,43582.048211562505,,106525.58022661111,4377210.05346,,57037.8764080421,80001
80003,,4895.998675114286,14987.49863015,,19990.699834129413,,,,499999.86986000004,,,,,,,,,597.3635677681818,,4.0,,,127937.93837975,122088.39088005884,298465.13359975716,30444.99930435,,,,80003
80004,672304.3380382999,2596316.3818760766,,151663.96383999998,8203.998044,,,,,,,,,,,,,2133.499112102857,1679.5706707128572,,,,,,7675.798170002,13998.368988862498,,,,80004
80006,,665836.0230218,,72458.7998525,11264.79664954,,,,,,,,,,,,,,,,,,,,120381.954122,10199.9947027,,,,80006
80007,689.6998258278,48907.74757141175,293784.8948018823,,13193.495884814285,127222.30300233333,,,,,,,,,,,,,3803.3319456095237,,,,,,,159507.34341659336,,,1294600.7291187502,80007
80009,301209.45757888886,1230522.3682199998,,,,,,,,,,,,,,,,,,,,,,,6749.9983907000005,,,,,80009
100002,,533298.6518833333,117493.92533136364,182834.8290994222,,,14619261.855225,,,,32237281.05083334,6707072.343801666,,,,,,4816.913896214285,9258.8949034,40.499989341,,,,,,161604.63421928234,,,293090.96936211106,100002
100006,193682.90764633333,41181820.03808,,567768.9788135833,15424.1177357375,,4768178.973611111,,,,44246990.20385555,10376783.695855558,10552078.968525,1516444.7769175,,,,31102.124412399997,7471.106372825001,,38723.279763,759030.638055,47940.64004237467,538219.6750384001,,90036.62153473335,,,28965.6522615,100006
100007,15390.4991598375,12528648.542222727,15430504.002627272,3655397.7887761905,298659.4444293333,4518058.329616667,6146342.5767125,1591723.250675,,,57253747.484225,12447095.33629375,24613401.95955625,4410793.56575,,,,17224.641759357146,21531.362287909087,,,835283.3393527273,2595652.4394172723,291086.8834363636,,2105873.623037895,7292181.052281818,,2319585.347818182,100007
100008,58171.88964225,108256.11993894444,,1263524.536610769,51185.46586275001,,,,,,,,,,,,,5040.214715021741,,,,92377.34398424,,126104.56585512502,144220.931231,98847.45337224376,,,40065.14483216667,100008
100009,,2351113.4985114285,,235998.0,25734.74770975,,,,,,,,,,,,,,2998.7719409363635,,3326.9992509500003,92918.0,25.0,227165.6438057143,,13458.49859805,,,,100009
100012,,,,,7238.4965486,,,,,,,,,,,,,25815.455442833332,,11892.594905680002,,,,,,44947.51711246111,,,186004.80994820004,100012
100017,,,,,,6626006.2668,5846815.681300001,,,,32463391.091285713,10525374.025657143,,,,,,606.74971794875,25952.18214974583,,5477.174766800001,,,,,86854.95815916668,1396179.408367692,,,100017
100018,,,,746085.0453791666,7394.424967800001,,,,,,665610.218364,128606.7264156,1405173.093412,278069.6757954,,,,,,65.99996852800001,3443.59161485,206343.32187725,,,,16332.579828274704,,,47058.511770684214,100018
100019,2490.47581610075,5180.354102809,,290943.482545125,62742.82496699999,,648623.19071,,,,,,606720.3773566666,111499.28016333334,,,,,5758.759385386667,1644.6658824166668,,,,48314.405955928574,182247.21579016667,107855.67752694,,,,100019
100022,125568.70324879927,8757933.621526606,9186.578939055667,67.49996781349999,91491.51002932251,281007458.53504163,274053268.029,,10645201.475588888,470473.9151938889,754837952.018889,262108907.98933336,,,,,,29524.329770416665,3647.6516428333343,6341.942668,19554.482963916667,81051.4327305,56.68305585325014,6320016.270599999,16318007.969209293,37680.905731607694,17543517.133399997,,29850.30585043333,100022
100025,61948.485230499995,5802993.906557655,,,51722.485488440005,1626079.9378063332,,,,,,,23693745.890333336,5370582.90555,,,,19546.952423083338,,,,,,,432988.8964775,35561.69477244117,1707486.9262333333,,,100025
100026,635.5,520983.96547999996,301672.70440833335,279759.4941775,6956.998732,314224.51683333336,2673554.375011111,,3832432.425344445,,11279251.9994,2093555.3735106667,1010052.428316375,189418.73782575002,,,,,,,,440791.935963,16263.84921921429,1087.25,4890.99502395,13731.850753014283,,,,100026
100029,,83086.41445335,5088.59797751465,166441.04596180003,7444.7552748875005,114750.54035,130835.46880500001,3847781.00862,,,,,11298931.507172726,1582762.4085363636,,,,5710.299571595834,3352.2215370761905,,,18879.9954988,,1178510.0042,37755.233575595834,3992.9965539666664,,,,100029
100032,36141.24982875,176670.59806138,22710.0,54579.64801800001,332968.75068,,4121426.8698625,,,,32873681.643294126,5662755.850811764,485724.43505333335,55458.973555,,,,3711.230341746154,4723.0826255125,42.74999414725,3238.1426648714287,,80451.38970893335,33647.49261678571,256.0,132831.89888831248,,,,100032
100034,1340096.4658,451314.96621,3399.9985979999997,374212.48442,105022.5,315.0,,,,,,,,,,,,,2337.666418733333,54.249999582,,109943.46883499999,,404759.3205466666,,17978.855088,,,,100034
100035,193.0,120.0,,,66.999995318,,,225123.376986,,,46513254.043,6385547.027785714,577438.8713572727,122105.54123618183,,,,1712.7140288685714,2591.87477659375,,1965.2499087,19195.999743,,,,6565.998480300001,,,261668.0,100035
100038,158.90904800459998,4997687.944873477,297088.44346862996,650926.5409352174,79364.01839195652,24210393.2941539,26426387.625899997,,8105853.474455555,926699.8480865555,164372167.06188887,43342798.31155556,24162640.501399998,4112881.7873142855,,,,16446.691092569567,,177.28565176071427,,,22261.4946925,207393.55097773808,630786.9821072867,14268.540772318178,1278266.19205,,4879.9988365,100038
100039,,4915041.29512625,,,596.9998576633334,18536408.71461666,54173632.84614285,,1280899.6946124998,,54173632.84614285,12766666.345542857,2483306.0746,573674.8632233333,,,,13375.261784879998,20898.24284842083,,,1560025.62325,119444.419075,,144986.87070933334,27658.86722312875,520551.30496666656,,,100039
100044,,1873899.0071965053,28993.248800391113,,30428.355154682355,46662.4777495,,,,,381729.817975,58686.4720165,2270530.59,345346.50613149995,,,,,3504.498163407286,,2537.6183543086954,,32065.69662583637,,,102231.65604281765,,,161626.90504461905,100044
100051,1.9999990463500001,48398.70938666666,3694.6649048971994,40638.52263795182,2320.577531662857,3293669.3099413957,3409399.659977143,,,,11097982.02922,1986815.8384059998,,,981.8293681542857,1679.3722863857145,47.16391938100001,,,,,,,,,,,,,100051
100052,1114149.7086884698,409.3331381483333,22627.0871138,,,2844860.2569399998,10856698.822900001,,2058369.0185,,13266959.84378,2435190.632098,499810.9081414286,84995.69046685715,,,,1116.3717486736841,3254.2044150950005,40.99997532733333,2359.7713561383334,3837.4954115999994,129046.34049366665,,429.5000027,9886.120614525002,,,139092.324201,100052
100057,,134896.38328719998,9275.996853600001,,,3292097.7309011114,,,,4415610.046583333,,,,,,,,,6254.46623716,,,3089.9992794000004,,,15555.994906,169118.32739733334,,,,100057
100062,6143.997816800001,,15168.8843875,1087031.2679400002,260856.658571,,175023.5816218889,224822.55972723334,,,632837.4773488888,166172.47515066667,552772.0691876666,206109.56809450002,,,,,3447.7573144750004,,,,,10202.06326620875,,55970.470653619996,,,,100062
100063,,,135.0,,1489.4543891218182,,12827.081041374999,73748.70951557143,,50000.0,1000025.547964375,255353.853788125,832992.2951599999,180824.7195891333,,,,,,61.16665601303333,,1360.5,53171.986815,72802.97774,27766.495087463,3438.0,,,,100063
100067,,201651.9499668,2699.6657591477783,1137.9993717500001,6746.283390585714,,539283.3462324999,9031.428157114286,,145469.0,8219165.31104125,1680928.1439355,129900.925942,26660.332501459998,,,,,1892.6665269244445,,6124.94344061111,,,10444.330843233332,27619.160137478335,84508.32898801111,,,83216.115667875,100067
100068,3787.7992504595995,3229.749995939675,7764.332869566667,17073.79761025,1998.6659828141665,,,,,,,,,,,,,,328.99979046,84.0,,,,,27069.0,11236.9971918,,,,100068
100070,-2.1400000150606502e-05,82167.98041,2709.599502338,257394.10922674998,3065.427658741429,,,,,,2880641.616413333,889074.8255266667,,,,,,,1549.5291213905293,,,,-4974.9963225,924.999671458,924.99975653,18922.4900625,,,,100070
100071,1591.554406812522,3486.79833763146,1392.499336005,,8360.153527818422,,173001.56301423334,1061.33282726,,453281.78385999997,6460154.273934,693982.2583089999,13294.326994199999,1669.33253735,,,,2317.49906749,,,,,,,20631.335298985712,,,,,100071
100073,,22353.33030833333,600.0,,6490.331317966667,-429.9998975,,,,,,,,,,,,1712.708104585833,3492.9994335454544,,,102286.63102057,,,737309.5255568802,62038.161415,,,,100073
100075,3890.5989003359996,264330.9351748,154677.28072514286,,,,3269609.721225,1413571.1816142856,,2968578.0,49036763.33150001,10956532.364393748,15315500.301766666,3417631.2089533336,,,,13209.25957395652,5445.607889826087,,,15334.13864942857,46315.713964018185,1149.49972595,-940.3331353333333,103565.241786125,,,191476.393265,100075
100077,3.9999983905,,,1925.9995987,7057.999664275,,,,,,,,,,,,,,5960.9999037,,,225670.96233,,,,5705.5,,,,100077
100080,3372.9991958,703.9998321600001,8462.4925401,14213.996611,18766.064430171427,2858527.0815500002,14853356.1738625,,,,86657600.66383334,13287197.151683332,,,,,,,3477.2477902500004,,,,,,,15236.995795416668,,,,100080
100084,,1097429.7383432225,230688.945,,49846.951402499995,3633619.8003333327,,,,,20432635.1285,4980414.8126,91124.4782745,20807.995039,,,,,,,,327493.63562,,,101209.71657528874,10091.423955185714,,,,100084
100086,,1878740.3708450666,,113053.973045,1767.19861515,21891711.081046157,22917540.506571423,,125999.91932233334,,27001658.527666662,6262788.646883334,154529.62982333335,37476.65773133333,,,,,3209.0405575766667,,,104692.43824049999,,,61566.985321500004,1099.4997378374999,,,,100086
100087,,70788.555125,,113475.54589139,,,,,2192.2489546575,25351.48712034666,,,1718288.90886,299917.56546142854,,,,,4914.007740685715,47.999977111666674,5400.097305509999,2454284.7512,,54739.33394,,136358.5194825353,,,440643.2565235454,100087
100088,,,2569.3100187,,241141.20567754167,1482796.2359833333,,,,,,,,,,,,13774.660022277776,,,,380816.0949748572,853762.84288875,237205.83807045457,,101243.56865339045,,,145081.18723304168,100088
100090,30954.514742935295,,,112614.44630000001,,217049.396505,,,,,,,,,,,,1130.8994982107001,,,,,296887.858435,14254.993202700001,111874.76606527272,10379.492278717125,,,,100090
100093,,,,,,,1275459.337907143,,18216.491313849998,,1710120.184565,267575.87241,,,,,,,2767.3187640124997,,3516.3200391666664,,,,249.49988103,52245.6005515175,,,130617.99929187499,100093
100105,13.475398992,16199.992275300001,,,15170.392280920001,,5049506.031687501,,,,19229290.018129412,6400192.273958824,,,,,,,,,,,,,6046.9971166,38947.19725045001,,,,100105
100109,427.99996966666663,2259.9993667999997,10050.459635153848,208206.15176916667,,,,,,,,,,,,,,,,,,5174.9987158,331902.83836,,,2488.0,,,,100109
100110,,8356.664811666667,28324.0,,5263.666226099999,12342112.0,,,,,,,,,,,,1414.562399331875,,,,,,111.0,,5004.999065366667,,,370732.0,100110
100113,10298.497544825,287445.1814675,,,,3799383.0941666663,85524580.22016667,,10862888.156814286,,148944447.4781875,46676986.311249994,511080.59242828574,133243.68251828573,,,,10063.94584116,7079.497737066667,2576.4990847777776,33609.27961200833,,283559.432395,,55367.98679925001,253009.81477784,7877587.836479167,,449272.00953082356,100113
100118,,1594.1664680483334,,214908.08750249998,1481.99946553,,,,,,3642306.0,739443.0,,,,,,,,,,135315.7015335,99.999969566,,,4248.0,,,,100118
100126,13.499995171850001,41.499980211,3348.3325002999995,4541.7753766891665,2184.332453314444,,,,,,15465967.331325,3790907.8870975,,,,,,,3009.726078709091,,,507411.879025,,1751.4993736,16131.7457844,2266.6658560466662,,,,100126
100127,,57231.11397028571,38303.425146857146,,20555.5,,521170.6326833333,149645.60952,,718311.65748,8630716.149867058,2038784.2753627647,651920.4894454376,146242.8002114375,,,,2039.411404357647,3799.2599956034783,,,,,6895.2497779375,-1550.666021,75891.45233707692,,,121761.67826007694,100127
100128,12856483.948549999,12678888.136815,3376716.112044444,882191.1485900001,71190.17926786668,20066927.245737497,25324476.60486667,,,2035812.0292500001,90819253.47344445,18252033.930066664,,,,,,15337.608826670832,7456.006143516667,1123.5600279845833,5642.317136029166,1024386.943355,19189.48823305,1615749.4056026086,1439610.722995,259656.86758263747,14883521.8412875,,227835.10752854162,100128
100131,294946.66650256666,5200.99811645,,8966.249887625,8820.4990261,495982.4043500001,,,,,,,,,,,,,4319.874570575,,,,,39757.498031,27577.0,25308.49614725,,,31448.988699,100131
100137,1828.8456602415386,,,,3345.6235862525,,763873.1572436666,,,,10885857.735533334,1195451.5385966667,,,,,,,,,,,,,,977.4997669449999,,,,100137
100151,34829.0,70.499995318,12784.997916666667,458854.3146133334,47992.4820205,,,,,,,,,,,,,1387.71415404,3783.9991063999996,,,491766.60411,,,,45858.3091288125,12997888.305158421,,24804.8724796875,100151
100157,1347.4677138333332,33637.50869401539,65740.7728599666,330953.0306426,80950.6407666087,67255.30199833334,,,,,20711459.588044446,3336243.3091255557,,,,,,3765.391535416666,4447.3543537000005,,4796.7784483333335,1491.4992887950002,,,167739.43710857144,210803.18494173532,,,178463.0177936,100157
100166,1938.5,,,,3060.3747043625,332442.0,,,,,,,,,,,,,,,,,-1171.0,,,16353.74974325,,,,100166
100167,1737.7995856821994,-54.49998701,,4460.998629616666,8448.55973123125,684447.8313366667,,,,,,,,,,,,11909.912892429167,3084.9988226399996,,,,,,,697342.94114004,,,488785.93387589994,100167
100168,-7553.498199,553.99981037332,19024.66117527778,,6979.49833595,,34380.653921,,33148.49209649999,,680374.6359526,142679.76491745998,23167.492047699998,5124.4980175,,,,608.3331600416667,,,2810.9156368833333,19944.32857838667,,,2491.9970030774994,38095.44927607692,,,,100168
100173,55623.05294244,2979.789122305,,1647378.3548753334,32690.986959399997,,1489583.4738325002,,,,14804017.397225,2701600.6840325,,,,,,2962.4600709484616,,84.62495832200001,,,,,331041.02301152,40874.73025915125,,,47286.99143833333,100173
100176,,,22.499989271,,7810.7346141285725,,801159.9323755555,,,,15379097.49268333,2563281.1890655556,337583.52577966667,50952.88546422222,,,,250.374862984,,,,,,,41747.034531875,21378.5981512,,,,100176
100191,5118.283796142858,,,,,,,,,,,,,,,,,1462.5995200539999,3948.822189064705,,,,5.4999986887,,,5099.99448595,,,,100191
