medicare provider number,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number
30023,2026489.8939999999,2802421.3998073335,78926.7552748,192411.231753,5597.560705937502,,,178972.45733,,,10198269.92458,4091578.4763600007,365072.5129599999,119090.3716052,,,,3274.7071268083328,,9.999996164042857,,,,,,19813.564428385715,,,,30023
30024,,5486693.983274,,403362.31544,349674.8820278235,604427.1010672,,,2944776.631233333,3297536.5471666665,,,6190.498524050001,1109.99973535,,,,18106.526232040003,5017.098411239999,6453.997801599999,24387.2831224125,,7976.596579619999,291317.33943537314,-1674.5981992868008,23837.705417585716,5544576.45900091,,16133.617552074997,30024
30036,16.0,11353.552734607001,32278.666181666664,254429.91221399995,31800.80504250091,655024.859335,,10520893.491999999,28220.9867105,,,,,,,,,,,,,,,6.99999634855,935.99977684,,,,,30036
30037,,19573.795268198,,47840.48859400001,21507.11645051667,687913.33599,,,,,345390.2262666666,80130.97644633333,,,,,,,,515.399812482,,149809.462695,3.4999977248999996,6963.2250668,74523.482247,2193.6655925,,,,30037
30038,3171.2127010000004,255041.378385,8071.7688530000005,,,,242078.88457,,,,242078.88457,74213.964611,,,,,,,,,,21467.4897635,,,,69395.09813884117,622556.712093,,,30038
30055,3687.4991208500005,4362.188923319049,5732.19720826,,,400291.25159,13150284.864500001,,,,,,,,,,,,,,,,902.4996617533334,,5709.29143975294,15951.329530333334,,,,30055
30061,220716.2272383125,14343.124593375,37577.0,230.99999264333334,9280.24812725,,37553387.58733333,,,,34609745.381,7704515.6822,,,,,,,,75.71427928857143,,,169181.3320491,,,176647.28480914285,,,64965.77126077779,30061
30064,84485.452291,959388.6607499998,1799130.9709984802,473895.67751857144,29597.391641000002,9599709.473854546,5446017.965583333,,478904.33156250004,3842385.5023462498,10112434.44407778,2609599.3871844443,,,,,,7989.906171545455,,,10096.17042443913,,,107883.95807812856,47482.28670504001,74543.92386404,4772497.504817392,,44617.852319086945,30064
30065,23143.0,693979.2721466667,166822.62477985717,810242.166657857,49564.3535775,19047.49713185,,,,,,,,,,,,,5406.99816995,,,,,,,35657.08060789228,,,82172.98971141667,30065
30069,26.999998328,31208.282899149996,,24876.988877999996,3113.9996111666665,,,,,,123551.470541,20978.4949985,,,,,,,,,,,,,9112.998394700002,,,,,30069
30085,23345.0,785051.0,,90821.13852363637,22561.133158992856,,3762567.4456520006,143705.86334500002,,,13973217.607379999,3805929.0082380003,393386.25568349997,98451.475546,,,,,,,,,764.0,,,63855.21726843416,,,,30085
30087,2374.08758363262,,97260.238726,202061.99452,,,,,,,,,,,,,,5829.821806279411,,,,,,5749.997258166667,,32941.3642522625,,,3759.4975197500003,30087
30088,99.999969566,30486.999921075,,103589.97021,33521.82457908333,,,,,,69863609.03025,15158308.033,,,,,,,,,,,,,,131578.620287822,,,,30088
30089,,374129.589042,162938.27556285713,,36691.42775507143,,,,,,,,,,,,,,17335.997667,,,,,,,11813.49863025,,,32239.249358,30089
